0	99.2	138.5
1	99.0	138.4
2	98.0	138.1
3	97.6	137.8
4	96.8	137.5
5	95.8	137.1
6	94.8	137.0
7	94.0	136.6
8	93.0	136.2
9	91.8	135.7
10	90.6	135.3
11	89.6	134.8
12	88.0	134.4
13	86.8	133.8
14	84.8	133.4
15	84.2	132.8
16	82.8	132.4
17	81.8	131.8
18	80.6	131.4
19	78.6	130.9
20	78.0	130.5
21	77.0	130.0
22	75.8	129.5
23	74.8	129.1
24	73.8	128.7
25	72.6	128.2
26	71.8	127.9
27	70.8	127.5
28	69.8	127.1
29	68.8	126.8
30	67.8	126.5
31	67.0	126.1
32	66.0	125.8
33	65.0	125.5
34	64.0	125.1
35	63.6	124.8
36	62.6	124.6
37	61.8	124.2
38	61.0	123.9
39	60.2	123.5
40	59.4	123.3	
41	58.8	123.1
42	58.2	122.8
43	57.6	122.5
44	57.0	122.2
45	56.2	122.0
46	55.8	121.8
47	55.0	121.5
48	54.4	121.4
49	53.8	121.2
50	53.2	120.9
51	52.8	120.7
52	52.2	120.5
53	51.6	120.3
54	51.0	120.0
55	50.4	119.9


