330	0.36
329.66	1.35
329.32	1.44
328.98	1.45
328.64	1.52
328.3	1.59
327.96	2.49
327.62	1.8
327.28	1.8
326.94	1.77
326.6	1.69
326.26	1.94
325.92	1.88
325.58	2.03
325.24	2.15
324.9	2.12
324.56	2.15
324.22	2.2
323.88	2.25
323.54	2.36
323.2	2.79
322.86	2.83
322.52	3.06
322.18	3.42
321.84	3.55
321.5	3.59
321.16	3.63
320.82	3.66
320.48	3.72
320.14	3.5
319.8	3.64
319.46	3.69
319.12	3.78
318.78	3.71
318.44	3.72
318.1	3.83
317.76	3.91
317.42	3.89
317.08	3.97
316.74	4.15
316.4	4.24
316.06	4.39
315.72	4.29
315.38	4.31
315.04	4.38
314.7	4.42
314.36	4.23
314.02	4.39
313.68	4.6
313.34	4.64
313	4.48
312.66	4.46
312.32	4.52
311.98	4.6
311.64	4.67
311.3	4.74
310.96	4.81
310.62	4.85
310.28	4.96
309.94	5.14
309.6	5.24
309.26	5.3
308.92	5.29
308.58	5.46
308.24	5.42
307.9	5.47
307.56	5.48
307.22	5.36
306.88	5.43
306.54	5.35
306.2	5.3
305.86	5.4
305.52	5.45
305.18	5.87
304.84	5.95
304.5	5.99
304.16	6.09
303.82	6.09
303.48	6.17
303.14	5.82
302.8	5.89
302.46	5.85
302.12	6.16
301.78	6.04
301.44	6.06
301.1	6.06
300.76	6.08
300.42	6.01
300.08	6.02
299.74	6.12
299.4	5.99
299.06	6.01
298.72	6.08
298.38	6.22
298.04	6.28
297.7	6.2
297.36	6.24
297.02	6.36
296.68	6.59
296.34	6.66
296	6.6
295.66	6.72
295.32	6.67
294.98	6.42
294.64	6.4
294.3	6.39
293.96	6.39
293.62	6.38
293.28	6.44
292.94	6.64
292.6	6.44
292.26	6.39
291.92	6.13
291.58	6.21
291.24	6.25
290.9	6.25
290.56	6.3
290.22	6.39
289.88	6.39
289.54	6.37
289.2	6.32
288.86	6.28
288.52	6.28
288.18	6.17
287.84	6.26
287.5	6.29
287.16	6.3
286.82	6.17
286.48	6.13
286.14	5.97
285.8	5.91
285.46	5.84
285.12	5.7
284.78	5.57
284.44	5.52
284.1	5.46
283.76	5.37
283.42	5.26
283.08	5.23
282.74	5.24
282.4	5.21
282.06	5.25
281.72	5
281.38	4.96
281.04	5.08
280.7	5.17
280.36	5.11
280.02	4.94
279.68	4.82
279.34	4.61
279	4.43
278.66	4.5
278.32	4.27
277.98	4
277.64	4.37
277.3	4.24
276.96	4.21
276.62	4.11
276.28	4.36
275.94	4.23
275.6	4.27
275.26	4.26
274.92	4.13
274.58	4.11
274.24	4.06
273.9	4.12
273.56	4.21
273.22	4.19
272.88	4.12
272.54	4.13
272.2	4.03
271.86	3.84
271.52	3.67
271.18	3.72
270.84	3.55
270.5	3.34
270.16	2.84
269.82	2.73
269.48	2.84
269.14	2.71
268.8	2.91
